大陸被投資公司名稱,主要營業項目,實收資本額,投資方式,"本期期初自台灣
匯出累積投資金
額","本期匯出或收回
投資金額",,"本期期末自台灣
匯出累積投資金
額","被投資公司本
期損益","本公司直接
或間接投資
之持股比例","本期認列
投資損益","期末投資
帳面金額","截至本期止已
匯回投資收益",備註
,,,,,匯出,收回,,,,,,,
郴州台達科技有限公司,"經營變壓器等電子產品之製
造及銷售業務","$ 1 16,750","透過轉投資大陸公司直接再
投資大陸公司",$ -,$ -,$ -,$ -,"$ 2 2,984",1 00.00,"$ 2 3,688","$ 3 49,295",-,(註3)
"上海浦環中達能源科技有限
公司","太陽能熱發電產品銷售、光
伏設備及元器件銷售、節能
管理服務","4 6,242","透過轉投資大陸公司直接再
投資大陸公司",-,-,-,-,( 930),9 6.32,( 930),"2 9,781",-,(註3)
"廣州埃墨勒施照明器具有限
公司",燈具、裝飾物品之批發,"1 5,772","透過第三地區投資設立公司
再投資大陸公司","1 99,977",-,-,"1 99,977","3 ,865",1 00.00,"3 ,865","2 4,625",-,(註8)
中達電通股份有限公司,"經營不斷電式電源供應器等
電子產品之銷售業務","2 ,600,560","透過第三地區投資設立公司
再投資大陸公司","1 0,154,509",-,-,"1 0,154,509","9 4,318",9 5.91,"9 0,461","6 ,277,333",-,(註4)
"華豐電子科技(蕪湖)有限公
司","電子元器件、模具、鍛件及
粉末冶金製品之製造及銷售","1 ,627,045","透過第三地區投資設立公司
再投資大陸公司","9 96,150",-,-,"9 96,150","4 5,981",1 00.00,"4 5,981","1 ,447,407",-,(註5)
"福建省開欣建設工程有限公
司","房屋建築工程、建築裝修裝
飾工程、市政公用工程、園
林綠化工程等","1 14,461","透過轉投資大陸公司直接再
投資大陸公司",-,-,-,-,( 3 68),4 0.00,( 1 47),"1 3,031",-,(註3)
台達電子(重慶)有限公司,"生產新能源汽車電子零件及
電子設備電源零件","2 ,158,325","透過第三地區投資設立公司
再投資大陸公司",-,-,-,-,"2 ,576",1 00.00,"2 ,576","1 ,843,935",-,(註5)
"環儀精密設備製造(深圳)有
限公司",自動化設備解決方案,"1 32,634","透過第三地區投資設立公司
再投資大陸公司",-,-,-,-,"( 2 0,281)",1 00.00,"( 2 0,281)","( 1 75,480)",-,(註9)
