持有之公司,"有價證券
種類及名稱","與有價證券
發行人之關係",帳列科目,期 末,,,,備 註
,,,,股 數,帳面金額,持股比率,公允價值(註1),
"廣達創業投資
(股)公司
〞
〞
達啟投資(股)
公司
〞
〞
〞
鼎天國際(股)
公司
〞
〞
〞
〞
〞
〞
〞
雲達科技(股)
公司","特別股
Lumus, LTD.
其他
Translink Capital Partners III
L.P.
China Renewable Energy Fund,
L.P.
受益憑證－基金
兆豐國際寶鑽貨幣市場基金
聯邦貨幣市場基金
第一金台灣貨幣市場基金
普通股
研晶光電(股)公司
受益憑證－基金
第一金台灣貨幣市場基金
中國信託華盈貨幣市場基金
普通股
廣達電腦(股)公司
源星生醫科技(股)公司
玉山金融控股(股)公司
兆豐金融控股(股)公司
第一金融控股(股)公司
合作金庫金融控股(股)公司
受益憑證－基金
聯邦貨幣市場基金","-
-
-
-
-
-
-
-
-
鼎天國際(股)公
司之母公司
-
-
-
-
-
-","透過其他綜合損
益按公允價值衡
量之金融資產－
非流動
〞
強制透過損益按
公允價值衡量之
金融資產－非流
動
強制透過損益按
公允價值衡量之
金融資產－流動
〞
〞
透過其他綜合損
益按公允價值衡
量之金融資產－
非流動
強制透過損益按
公允價值衡量之
金融資產－流動
〞
透過其他綜合損
益按公允價值衡
量之金融資產－
非流動
〞
〞
〞
〞
〞
強制透過損益按
公允價值衡量之
金融資產－流動","168,023
-
-
12,494,581
5,647,504
13,766,423
476,982
2,378,330
19,130,929
8,108,885
258,914
4,238,376
2,424,020
1,906,073
3,109,266
20,345,630","159,677
134,966
882,795
164,050
78,033
220,647
7,317
38,120
220,373
1,820,445
-
121,853
96,718
51,559
74,778
281,119","3.45%
- %
- %
- %
- %
- %
2.06%
- %
- %
0.21%
2.87%
0.03%
0.02%
0.01%
0.02%
- %","159,677
134,966
882,795
164,050
78,033
220,647
7,317
38,120
220,373
1,820,445
-
121,853
96,718
51,559
74,778
281,119",
