項 目,歸屬於母公司業主之權益,,,,,,,,,非控制權益,權益總額
,股 本,資本公積,保 留 盈 餘,,其他權益,,,庫藏股票,"歸屬於母公司
業主權益總計",,
,普通股股本,,法定盈餘公積,未分配盈餘,"國外營運機構
財務報表換算
之兌換差額","透過其他綜合損益
按公允價值衡量之
金融資產未實現
評價(損)益",其他,,,,
"民國一一三年一月一日餘額
盈餘分配：
普通股現金股利
民國一一三年第一季淨利
民國一一三年第一季其他綜合損益
本期綜合損益總額
發放予子公司股利調整資本公積
採用權益法認列之關聯企業及合資之變動數
實際取得或處分子公司股權價格與帳面價值差額
對子公司所有權權益變動
限制員工權利新股
其他資本公積變動
處分透過其他綜合損益按公允價值衡量之權益工具
非控制權益
民國一一三年三月三十一日餘額
民國一一四年一月一日餘額
盈餘分配：
提列法定盈餘公積
普通股現金股利
盈餘分配合計
民國一一四年第一季淨利
民國一一四年第一季其他綜合損益
本期綜合損益總額
發放予子公司股利調整資本公積
採用權益法認列之關聯企業及合資之變動數
限制員工權利新股
處分透過其他綜合損益按公允價值衡量之權益工具
非控制權益
民國一一四年三月三十一日餘額","$ 15,996,475
-
-
-","$ 28,350,438
-
-
-","$ 75,782,948
-
-
-","$ 212,669,736
(48,628,552)
31,535,653
-","$ 6,108,654
-
-
10,148,791","$ 29,887,085
-
-
6,935,535","$ (533,584)
-
-
-","$ (55,970)
-
-
-","$ 368,205,782
(48,628,552)
31,535,653
17,084,326","$ 5,999,576
-
119,154
13,181","$ 374,205,358
(48,628,552)
31,654,807
17,097,507"
,-,-,-,"31,535,653","10,148,791","6,935,535",-,-,"48,619,979","132,335","48,752,314"
,"-
-
-
-
(241)
-
-
-","191,734
525,090
(177,922)
-
(42,298)
8,838
-
-","-
-
-
-
-
-
-
-","-
-
-
-
9,588
-
73,991
-","-
-
-
-
-
-
-
-","-
-
-
-
-
-
(73,991)
-","-
-
-
-
217,015
-
-
-","-
-
-
-
-
-
-
-","191,734
525,090
(177,922)
-
184,064
8,838
-
-","-
-
(45,743)
102,498
-
-
-
(243,969)","191,734
525,090
(223,665)
102,498
184,064
8,838
-
(243,969)"
,"$ 15,996,234","$ 28,855,880","$ 75,782,948","$ 195,660,416","$ 16,257,445","$ 36,748,629","$ (316,569)","$ (55,970)","$ 368,929,013","$ 5,944,697","$ 374,873,710"
,"$ 16,016,880
-
-","$ 31,636,053
-
-","$ 89,308,524
4,951,119
-","$ 210,598,743
(4,951,119)
(40,041,559)","$ 23,114,158
-
-","$ 27,927,939
-
-","$ (1,919,250)
-
-","$ (55,970)
-
-","$ 396,627,077
-
(40,041,559)","$ 8,428,270
-
-","$ 405,055,347
-
(40,041,559)"
,-,-,"4,951,119","(44,992,678)",-,-,-,-,"(40,041,559)",-,"(40,041,559)"
,"-
-","-
-","-
-","29,324,913
-","-
4,641,860","-
(3,509,967)","-
-","-
-","29,324,913
1,131,893","204,016
17,394","29,528,929
1,149,287"
,-,-,-,"29,324,913","4,641,860","(3,509,967)",-,-,"30,456,806","221,410","30,678,216"
,"-
-
(256)
-
-","226,028
(17,139)
70,578
-
-","-
-
-
-
-","-
-
1,056
439,254
-","-
-
-
-
-","-
-
-
(439,254)
-","-
-
447,002
-
-","-
-
-
-
-","226,028
(17,139)
518,380
-
-","-
876
-
-
(628,355)","226,028
(16,263)
518,380
-
(628,355)"
,"$ 16,016,624","$ 31,915,520","$ 94,259,643","$ 195,371,288","$ 27,756,018","$ 23,978,718","$ (1,472,248)","$ (55,970)","$ 387,769,593","$ 8,022,201","$ 395,791,794"
,,,,,,,,,,,
